stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
2006,NAVIGATION BLVD @ DRENNAN,,29.753538,-95.329971,,
2007,NAVIGATION BLVD @ MILBY ST,,29.754196,-95.33223,,
2008,NAVIGATION BLVD @ HUTCHESON ST,,29.754668,-95.333778,,
2009,NAVIGATION BLVD @ YORK ST,,29.754948,-95.334572,,
2010,NAVIGATION BLVD @ ENGELKE,,29.755416,-95.337188,,
2011,NAVIGATION BLVD @ PALMER ST,,29.755439,-95.339218,,
2012,NAVIGATION BLVD @ ENNIS ST,,29.755894,-95.339981,,
2013,NAVIGATION BLVD @ DELANO,,29.75693,-95.341743,,
2014,NAVIGATION BLVD @ LIVE OAK ST,,29.757844,-95.343292,,
2015,NAVIGATION BLVD @ ST CHARLES ST,,29.758317,-95.344085,,
2020,TIMMONS LN @ ALABAMA ST,,29.737466,-95.436661,,
2021,TIMMONS LN @ ALABAMA ST,,29.73608,-95.4366,,
2022,TIMMONS LN @ COLQUITT,,29.734016,-95.436531,,
2023,TIMMONS LN @ COLQUITT,,29.733857,-95.436363,,
2024,TIMMONS LN @ RICHMOND AVE,,29.73607,-95.43649,,
2025,TIMMONS LN @ ALABAMA ST,,29.737298,-95.436539,,
2027,BUFFALO SPEEDWAY   @ ALABAMA ST,,29.7359,-95.42995,,
2028,BUFFALO SPEEDWAY   @ SOUTHWEST FREE,BUFFALO SPEEDWAY & SOUTHWEST FREEWAY,29.731958,-95.428475,,
2029,POST OAK PARK DR @ BRIAR HOLLOW PL,,29.752444,-95.453949,,
2030,POST OAK PARK DR @ POST OAK PL,,29.750069,-95.453942,,
2031,POST OAK PARK DR @ POST OAK PKWY,,29.747831,-95.453881,,
2032,NB POST OAK PARK DR @ POST OAK PKWY,,29.748434,-95.453804,,
2033,POST OAK PARK DR @ POST OAK PLACE,POST OAK PARK DR & POST OAK PLACE DR,29.750643,-95.453809,,
2034,POST OAK PARK DR @ BRIAR HOLLOW PL,,29.752606,-95.453827,,
2043,SHEPHERD DR @ BRANARD ST,,29.73672,-95.41061,,
2044,SHEPHERD DR @ ALABAMA ST,,29.73837,-95.410622,,
2045,SHEPHERD DR @ HAROLD ST,,29.74035,-95.41064,,
2046,SHEPHERD DR @ WESTHEIMER RD,,29.742133,-95.410654,,
2047,SHEPHERD DR @ FAIRVIEW ST,,29.7446,-95.41058,,
2048,SHEPHERD DR @ INDIANA ST,,29.746828,-95.410578,,
2049,SHEPHERD DR @ VERMONT ST,,29.749006,-95.410612,,
2050,SHEPHERD DR @ PELHAM DR,,29.751059,-95.410644,,
2051,SHEPHERD DR @ GRAY ST,,29.752638,-95.410629,,
